bugid,status,pri,,,,,,,
629,Verified,1,,,,,,,
634,WontFix,2,,,,,,,
642,Fixed,2,,,,,,,
643,Fixed,2,,,,,,,
663,Available,3,,,,,,,
667,WontFix,2,,,,,,,
674,Verified,2,,,,,,,
687,WontFix,2,,,,,,,
708,WontFix,2,,,,,,,
711,Verified,2,,,,,,,
717,WontFix,2,,,,,,,
718,Fixed,2,,,,,,,
727,Duplicate,2,,,,,,,
728,Fixed,2,,,,,,,
729,Duplicate,2,,,,,,,
736,Fixed,2,,,,,,,
766,Verified,2,,,,,,,
768,Verified,2,,,,,,,
772,Verified,2,,,,,,,
805,Fixed,2,,,,,,,
817,Fixed,2,,,,,,,
826,Duplicate,2,,,,,,,
835,Fixed,2,,,,,,,
842,Fixed,3,,,,,,,
851,Verified,2,,,,,,,
855,WontFix,3,,,,,,,
863,Assigned,3,,,,,,,
876,WontFix,2,,,,,,,
895,WontFix,2,,,,,,,
899,Duplicate,2,,,,,,,
900,Fixed,3,,,,,,,
906,Fixed,2,,,,,,,
908,Duplicate,2,,,,,,,
914,WontFix,2,,,,,,,
916,WontFix,2,,,,,,,
933,Fixed,2,,,,,,,
934,Invalid,2,,,,,,,
936,Fixed,2,,,,,,,
938,Duplicate,2,,,,,,,
947,Fixed,2,,,,,,,
950,WontFix,2,,,,,,,
953,Invalid,2,,,,,,,
960,Fixed,2,,,,,,,
961,WontFix,2,,,,,,,
968,Invalid,2,,,,,,,
974,ExternalDependency,2,,,,,,,
976,Fixed,3,,,,,,,
980,Duplicate,2,,,,,,,
983,WontFix,2,,,,,,,
985,Duplicate,2,,,,,,,
988,Assigned,2,,,,,,,
991,Fixed,2,,,,,,,
998,Verified,2,,,,,,,
1003,Duplicate,2,,,,,,,
1006,WontFix,2,,,,,,,
1008,Duplicate,2,,,,,,,
1010,WontFix,2,,,,,,,
1015,Duplicate,2,,,,,,,
1020,WontFix,2,,,,,,,
1025,WontFix,2,,,,,,,
1028,Verified,1,,,,,,,
1062,Verified,3,,,,,,,
1078,Invalid,2,,,,,,,
1080,WontFix,2,,,,,,,
1095,Fixed,2,,,,,,,
1112,Fixed,1,,,,,,,
1124,Available,3,,,,,,,
1143,Fixed,2,,,,,,,
1153,Verified,2,,,,,,,
1163,Fixed,2,,,,,,,
1169,Duplicate,2,,,,,,,
1170,Invalid,2,,,,,,,
1176,Fixed,1,,,,,,,
1178,Available,2,,,,,,,
1204,Fixed,1,,,,,,,
1207,WontFix,2,,,,,,,
1208,Verified,1,,,,,,,
1215,Fixed,2,,,,,,,
1217,WontFix,2,,,,,,,
1220,WontFix,2,,,,,,,
1252,WontFix,2,,,,,,,
1255,Duplicate,2,,,,,,,
1264,Invalid,stable,,,,,,,
1275,Fixed,2,,,,,,,
1291,Fixed,1,,,,,,,
1295,Fixed,2,,,,,,,
1316,Fixed,3,,,,,,,
1318,Verified,2,,,,,,,
1319,Verified,2,,,,,,,
1322,Verified,2,,,,,,,
1327,Verified,2,,,,,,,
1362,Duplicate,2,,,,,,,
1390,Invalid,2,,,,,,,
1404,Fixed,2,,,,,,,
1418,Duplicate,2,,,,,,,
1420,Fixed,2,,,,,,,
1423,Fixed,2,,,,,,,
1426,Available,3,,,,,,,
1433,WontFix,3,,,,,,,
1437,Fixed,2,,,,,,,
1455,Fixed,2,,,,,,,
1473,Verified,2,,,,,,,
1474,Fixed,3,,,,,,,
1479,Fixed,2,,,,,,,
1486,WontFix,2,,,,,,,
1495,Verified,2,,,,,,,
1499,Verified,2,,,,,,,
1504,Duplicate,2,,,,,,,
1507,Verified,2,,,,,,,
1511,ExternalDependency,2,,,,,,,
1533,Verified,2,,,,,,,
1542,Fixed,2,,,,,,,
1552,WontFix,2,,,,,,,
1554,Fixed,2,,,,,,,
1557,Fixed,2,,,,,,,
1560,Fixed,2,,,,,,,
1566,Fixed,2,,,,,,,
1573,Fixed,2,,,,,,,
1581,Fixed,2,,,,,,,
1583,Fixed,2,,,,,,,
1587,Duplicate,2,,,,,,,
1589,Duplicate,2,,,,,,,
1595,Duplicate,2,,,,,,,
1607,WontFix,3,,,,,,,
1610,j...@chromium.org,Bug,,All,,,,,
1619,Fixed,2,,,,,,,
1622,Verified,2,,,,,,,
1625,WontFix,2,,,,,,,
1637,Duplicate,2,,,,,,,
1647,Verified,All,,,,,,,
1649,Verified,2,,,,,,,
1650,Duplicate,2,,,,,,,
1671,WontFix,2,,,,,,,
1672,WontFix,1,,,,,,,
1678,WontFix,2,,,,,,,
1682,Fixed,3,,,,,,,
1683,Fixed,2,,,,,,,
1684,Fixed,2,,,,,,,
1685,Fixed,2,,,,,,,
1691,Duplicate,2,,,,,,,
1698,Duplicate,2,,,,,,,
1714,Duplicate,2,,,,,,,
1715,Archived,2,,,,,,,
1717,Fixed,2,,,,,,,
1723,Verified,2,,,,,,,
1727,ExternalDependency,2webkitbug,,,,,,,
1742,WontFix,2,,,,,,,
1750,Verified,2,,,,,,,
1761,Fixed,2,,,,,,,
1767,Duplicate,2,,,,,,,
1772,WontFix,2,,,,,,,
1780,WontFix,2,,,,,,,
1783,Fixed,2,,,,,,,
1788,Fixed,2,,,,,,,
1790,Fixed,2,,,,,,,
1795,Duplicate,2,,,,,,,
1797,Duplicate,2,,,,,,,
1800,WontFix,2,,,,,,,
1804,Duplicate,2,,,,,,,
1818,Fixed,2,,,,,,,
1821,Fixed,2,,,,,,,
1830,Fixed,2,,,,,,,
1835,Invalid,2,,,,,,,
1845,Verified,2,,,,,,,
1846,Duplicate,2,,,,,,,
1850,Fixed,2,,,,,,,
1859,Verified,2,,,,,,,
1861,Verified,2,,,,,,,
1862,Verified,2,,,,,,,
1870,Fixed,2,,,,,,,
1872,Fixed,2,,,,,,,
1876,Fixed,2,,,,,,,
1880,Fixed,2,,,,,,,
1881,WontFix,2,,,,,,,
1883,Verified,2,,,,,,,
1888,WontFix,2,,,,,,,
1891,Fixed,2,,,,,,,
1899,Fixed,2,,,,,,,
1904,Fixed,2,,,,,,,
1906,Fixed,1,,,,,,,
1917,Verified,2,,,,,,,
1922,Fixed,3,,,,,,,
1925,Verified,2,,,,,,,
1935,Fixed,2,,,,,,,
1946,Verified,1,,,,,,,
1963,Assigned,2,,,,,,,
1966,WontFix,1,,,,,,,
1967,Fixed,All,,,,,,,
1978,Fixed,3,,,,,,,
2004,Assigned,2,,,,,,,
2006,Available,3,,,,,,,
2018,Fixed,2,,,,,,,
2023,WontFix,2,,,,,,,
2024,Duplicate,2,,,,,,,
2025,Duplicate,2,,,,,,,
2026,Duplicate,2,,,,,,,
2028,Fixed,2,,,,,,,
2033,Fixed,1,,,,,,,
2035,Duplicate,2,,,,,,,
2036,Assigned,3,,,,,,,
2038,Fixed,3,,,,,,,
2039,Fixed,2,,,,,,,
2043,ExternalDependency,2,,,,,,,
2053,Verified,3,,,,,,,
2057,Duplicate,2,,,,,,,
2058,Fixed,2,,,,,,,
2068,Available,UI,,,,,,,
2069,Verified,1,,,,,,,
2074,Verified,All,,,,,,,
2076,WontFix,2,,,,,,,
2077,WontFix,2,,,,,,,
2083,WontFix,2,,,,,,,
2084,Fixed,2,,,,,,,
2093,Duplicate,2,,,,,,,
2096,WontFix,2,,,,,,,
2097,WontFix,2,,,,,,,
2105,Duplicate,2,,,,,,,
2124,Available,3,,,,,,,
2131,Fixed,2,,,,,,,
2136,Assigned,2,,,,,,,
2144,Verified,2,,,,,,,
2149,Fixed,3,,,,,,,
2153,Fixed,2,,,,,,,
2156,Verified,1,,,,,,,
2157,Assigned,2,,,,,,,
2170,Verified,2,,,,,,,
2173,Fixed,2,,,,,,,
2183,WontFix,3,,,,,,,
2185,Available,3,,,,,,,
2186,Fixed,3,,,,,,,
2191,Duplicate,2,,,,,,,
2193,Available,2,,,,,,,
2195,Duplicate,2,,,,,,,
2206,Fixed,2,,,,,,,
2210,ExternalDependency,2,,,,,,,
2212,Duplicate,2,,,,,,,
2213,WontFix,2,,,,,,,
2215,Fixed,2,,,,,,,
2220,Available,2,,,,,,,
2226,WontFix,2,,,,,,,
2231,WontFix,2,,,,,,,
2234,Duplicate,2,,,,,,,
2236,Fixed,3,,,,,,,
2237,Fixed,3,,,,,,,
2238,Fixed,2,,,,,,,
2260,WontFix,2,,,,,,,
2265,WontFix,2,,,,,,,
2275,Duplicate,2,,,,,,,
2278,Fixed,2,,,,,,,
2287,Duplicate,2,,,,,,,
2293,WontFix,2,,,,,,,
2294,Fixed,1,,,,,,,
2303,Fixed,2,,,,,,,
2304,WontFix,2,,,,,,,
2311,Fixed,2,,,,,,,
2316,Fixed,All,,,,,,,
2318,Duplicate,2,,,,,,,
2321,Fixed,2,,,,,,,
2322,Fixed,1,,,,,,,
2333,Verified,2,,,,,,,
2335,Verified,2,,,,,,,
2336,Fixed,2,,,,,,,
2346,Verified,2,,,,,,,
2347,Fixed,2,,,,,,,
2348,Fixed,2,,,,,,,
2349,Fixed,3,,,,,,,
2359,Verified,2,,,,,,,
2361,Fixed,2,,,,,,,
2365,Verified,2,,,,,,,
2366,Fixed,2,,,,,,,
2370,Fixed,2,,,,,,,
2375,Available,3,,,,,,,
2380,Duplicate,2,,,,,,,
2381,Fixed,3,,,,,,,
2385,Fixed,2,,,,,,,
2393,Fixed,2,,,,,,,
2401,Fixed,2,,,,,,,
2409,Invalid,2,,,,,,,
2410,Verified,2,,,,,,,
2413,Fixed,3,,,,,,,
2414,Fixed,2,,,,,,,
2423,Duplicate,3,,,,,,,
2425,Duplicate,2,,,,,,,
2426,Duplicate,2,,,,,,,
2433,Duplicate,2,,,,,,,
2438,Duplicate,2,,,,,,,
2440,WontFix,2,,,,,,,
2444,IceBox,3,,,,,,,
2445,Verified,2,,,,,,,
2450,Fixed,2,,,,,,,
2458,Verified,2,,,,,,,
2465,WontFix,3,,,,,,,
2466,WontFix,2,,,,,,,
2467,Verified,2,,,,,,,
2469,Started,2,,,,,,,
2471,Verified,1,,,,,,,
2472,Duplicate,3,,,,,,,
2473,WontFix,2,,,,,,,
2474,Fixed,2,,,,,,,
2484,Available,2,,,,,,,
2487,Duplicate,2,,,,,,,
2489,Verified,2,,,,,,,
2502,Invalid,2,,,,,,,
2509,Verified,2,,,,,,,
2515,Available,2,,,,,,,
2519,Verified,2,,,,,,,
2523,Verified,2,,,,,,,
2524,Verified,2,,,,,,,
2525,Verified,2,,,,,,,
2528,Fixed,3,,,,,,,
2529,Fixed,2,,,,,,,
2533,Fixed,2,,,,,,,
2538,Fixed,2,,,,,,,
2539,Duplicate,2,,,,,,,
2540,Fixed,2,,,,,,,
2543,Duplicate,2,,,,,,,
2547,Duplicate,2,,,,,,,
2550,Fixed,2,,,,,,,
2555,Duplicate,2,,,,,,,
2556,Verified,2,,,,,,,
2558,Duplicate,2,,,,,,,
2559,Fixed,1,,,,,,,
2566,Fixed,2,,,,,,,
2568,Duplicate,2,,,,,,,
2569,Fixed,2,,,,,,,
2583,j...@chromium.org,Bug,,All,,,,,
2587,Duplicate,2,,,,,,,
2598,Verified,2,,,,,,,
2602,Duplicate,2,,,,,,,
2609,Invalid,2,,,,,,,
2613,WontFix,2,,,,,,,
2614,IceBox,3,,,,,,,
2616,Fixed,1,,,,,,,
2618,Fixed,All,,,,,,,
2620,WontFix,2,,,,,,,
2624,WontFix,2,,,,,,,
2625,Fixed,3,,,,,,,
2628,Invalid,2,,,,,,,
2631,Verified,2,,,,,,,
2632,Fixed,All,,,,,,,
2635,Fixed,3,,,,,,,
2636,Fixed,1,,,,,,,
2637,Verified,2,,,,,,,
2639,Fixed,2,,,,,,,
2640,Verified,2,,,,,,,
2645,Fixed,2,,,,,,,
2648,WontFix,2,,,,,,,
2650,Verified,2,,,,,,,
2655,Duplicate,2,,,,,,,
2656,Fixed,2,,,,,,,
2661,Fixed,2,,,,,,,
2665,Fixed,1,,,,,,,
2674,Verified,2,,,,,,,
2683,Fixed,2,,,,,,,
2687,Verified,2,,,,,,,
2691,Fixed,2,,,,,,,
2692,Fixed,2,,,,,,,
2693,Fixed,2,,,,,,,
2695,Fixed,2,,,,,,,
2703,Fixed,1,,,,,,,
2704,WontFix,3,,,,,,,
2708,Verified,2,,,,,,,
2709,Untriaged,3,,,,,,,
2711,Verified,2,,,,,,,
2712,Verified,2,,,,,,,
2714,Verified,2,,,,,,,
2717,Fixed,2,,,,,,,
2718,Fixed,2,,,,,,,
2719,Duplicate,2,,,,,,,
2720,Fixed,2,,,,,,,
2722,Verified,2,,,,,,,
2723,Fixed,2,,,,,,,
2724,Duplicate,2,,,,,,,
2725,Verified,3,,,,,,,
2730,WontFix,2,,,,,,,
2734,Duplicate,3,,,,,,,
2742,Fixed,2,,,,,,,
2743,Fixed,2,,,,,,,
2750,Fixed,2,,,,,,,
2756,Fixed,2,,,,,,,
2759,Fixed,2,,,,,,,
2760,Fixed,2,,,,,,,
2761,Fixed,2,,,,,,,
2764,Fixed,1,,,,,,,
2780,Verified,2,,,,,,,
2786,WontFix,2,,,,,,,
2787,WontFix,2,,,,,,,
2790,Verified,2,,,,,,,
2791,Verified,2,,,,,,,
2792,Verified,2,,,,,,,
2793,Duplicate,2,,,,,,,
2795,Fixed,2,,,,,,,
2803,Fixed,2,,,,,,,
2804,Verified,2,,,,,,,
2805,Fixed,2,,,,,,,
2806,Fixed,2,,,,,,,
2808,Fixed,2,,,,,,,
2811,Fixed,2,,,,,,,
2813,Assigned,2,,,,,,,
2830,Fixed,2,,,,,,,
2834,Verified,2,,,,,,,
2835,Verified,2,,,,,,,
2843,WontFix,2,,,,,,,
2844,Assigned,2,,,,,,,
2846,Verified,2,,,,,,,
2849,Invalid,2,,,,,,,
2853,Fixed,2,,,,,,,
2855,Verified,1,,,,,,,
2856,WontFix,2,,,,,,,
2858,Fixed,2,,,,,,,
2863,Verified,2,,,,,,,
2866,WontFix,2,,,,,,,
2867,Fixed,2,,,,,,,
2871,Duplicate,2,,,,,,,
2876,Duplicate,2,,,,,,,
2877,Duplicate,2,,,,,,,
2878,Duplicate,2,,,,,,,
2879,Assigned,2,,,,,,,
2881,Duplicate,2,,,,,,,
2884,Invalid,2,,,,,,,
2896,Available,3,,,,,,,
2901,Verified,1,,,,,,,
2904,Duplicate,2,,,,,,,
2906,Fixed,2,,,,,,,
2908,Duplicate,2,,,,,,,
2910,Fixed,2,,,,,,,
2913,Fixed,2,,,,,,,
2919,Fixed,2,,,,,,,
2924,Fixed,2,,,,,,,
2926,WontFix,3,,,,,,,
2927,Fixed,2,,,,,,,
2929,Verified,1,,,,,,,
2932,Fixed,2,,,,,,,
2935,Fixed,3,,,,,,,
2937,Duplicate,2,,,,,,,
2939,Verified,2,,,,,,,
2940,Duplicate,2,,,,,,,
2948,Verified,2,,,,,,,
2949,Verified,2,,,,,,,
2951,Duplicate,2,,,,,,,
2952,Fixed,2,,,,,,,
2957,Fixed,1,,,,,,,
2958,Fixed,3,,,,,,,
2959,WontFix,2,,,,,,,
2960,Fixed,2,,,,,,,
2962,Fixed,2,,,,,,,
2964,Fixed,2,,,,,,,
2965,Verified,2,,,,,,,
2967,Invalid,2,,,,,,,
2969,Fixed,2,,,,,,,
2973,Fixed,2,,,,,,,
2976,Fixed,2,,,,,,,
2978,Fixed,2,,,,,,,
2980,Fixed,2,,,,,,,
2981,WontFix,2,,,,,,,
2982,Fixed,3,,,,,,,
2985,Verified,2,,,,,,,
2988,Duplicate,2,,,,,,,
2992,WontFix,2,,,,,,,
2993,Fixed,2,,,,,,,
2996,Fixed,2,,,,,,,
3000,WontFix,2,,,,,,,
3001,Fixed,2,,,,,,,
3002,Fixed,2,,,,,,,
3003,Fixed,2,,,,,,,
3004,Fixed,2,,,,,,,
3007,Fixed,2,,,,,,,
3009,Fixed,2,,,,,,,
3010,Fixed,2,,,,,,,
3013,Verified,2,,,,,,,
3016,WontFix,2,,,,,,,
3018,Fixed,2,,,,,,,
3027,WontFix,2,,,,,,,
3028,Fixed,2,,,,,,,
3031,Fixed,1,,,,,,,
3033,Verified,2,,,,,,,
3035,Fixed,2,,,,,,,
3041,Started,2,,,,,,,
3049,Assigned,2,,,,,,,
3053,Fixed,1,,,,,,,
3054,Available,2,,,,,,,
3056,Fixed,0,,,,,,,
3061,WontFix,3,,,,,,,
3062,Duplicate,2,,,,,,,
3064,WontFix,2,,,,,,,
3065,Verified,2,,,,,,,
3068,Fixed,2,,,,,,,
3069,Duplicate,3,,,,,,,
3072,WontFix,1,,,,,,,
3073,WontFix,3,,,,,,,
3076,Fixed,2,,,,,,,
3078,Fixed,2,,,,,,,
3084,Fixed,2,,,,,,,
3085,Fixed,1,,,,,,,
3086,WontFix,2,,,,,,,
3108,Fixed,2,,,,,,,
3109,Fixed,2,,,,,,,
3110,Fixed,2,,,,,,,
3114,WontFix,2,,,,,,,
3136,WontFix,2,,,,,,,
3142,WontFix,2,,,,,,,
3148,Fixed,3,,,,,,,
3149,Fixed,2,,,,,,,
3154,Fixed,1,,,,,,,
3174,Fixed,2,,,,,,,
3175,WontFix,2,,,,,,,
3176,Available,2,,,,,,,
3178,ExternalDependency,2,,,,,,,
3179,ExternalDependency,2,,,,,,,
3180,ExternalDependency,3,,,,,,,
3181,Duplicate,2,,,,,,,
3190,WontFix,2,,,,,,,
3192,Duplicate,1,,,,,,,
3198,Verified,1,,,,,,,
3201,Fixed,2,,,,,,,
3203,Fixed,2,,,,,,,
3206,Verified,2,,,,,,,
3218,Duplicate,2,,,,,,,
3219,Verified,2,,,,,,,
3226,Available,2,,,,,,,
3227,Fixed,2,,,,,,,
3229,Fixed,3,,,,,,,
3230,Duplicate,1,,,,,,,
3232,Duplicate,2,,,,,,,
3235,Verified,3,,,,,,,
3237,Verified,2,,,,,,,
3241,ExternalDependency,2,,,,,,,
3242,IceBox,2,,,,,,,
3244,Fixed,2,,,,,,,
3245,Verified,2,,,,,,,
3247,Verified,1,,,,,,,
3253,Invalid,2,,,,,,,
3256,Fixed,All,,,,,,,
3257,Available,2,,,,,,,
3258,Available,3,,,,,,,
3262,Fixed,2,,,,,,,
3265,Duplicate,2,,,,,,,
3266,IceBox,2,,,,,,,
3273,Available,2,,,,,,,
3276,Fixed,2,,,,,,,
3278,Available,2,,,,,,,
3279,Available,3,,,,,,,
3281,Invalid,2,,,,,,,
3283,Assigned,2,,,,,,,
3285,Fixed,1,,,,,,,
3289,WontFix,2,,,,,,,
3292,Duplicate,1,,,,,,,
3299,Duplicate,2,,,,,,,
3301,Fixed,2,,,,,,,
3303,WontFix,2,,,,,,,
3306,Duplicate,2,,,,,,,
3312,WontFix,2,,,,,,,
3315,Verified,2,,,,,,,
3318,Fixed,Bug,,,,,,,
3319,Fixed,WebKitUpstreaming,,,,,,,
3320,Fixed,Bug,,,,,,,
3325,Fixed,2,,,,,,,
3327,Fixed,2,,,,,,,
3333,Available,3,,,,,,,
3340,WontFix,2,,,,,,,
3341,WontFix,3,,,,,,,
3348,WontFix,2,,,,,,,
3350,Duplicate,2,,,,,,,
3356,Duplicate,2,,,,,,,
3357,WontFix,2,,,,,,,
3361,IceBox,2,,,,,,,
3362,Duplicate,2,,,,,,,
3364,WontFix,2,,,,,,,
3370,Duplicate,2,,,,,,,
3378,Fixed,1,,,,,,,
3380,Fixed,2,,,,,,,
3382,Fixed,2,,,,,,,
3395,Available,stable,,,,,,,
3400,Duplicate,2,,,,,,,
3404,Duplicate,2,,,,,,,
3408,WontFix,2,,,,,,,
3410,WontFix,2,,,,,,,
3412,Assigned,3,,,,,,,
3417,Verified,2,,,,,,,
3422,Verified,2,,,,,,,
3428,Duplicate,2,,,,,,,
3431,Verified,2,,,,,,,
3432,Fixed,1,,,,,,,
3433,Fixed,2,,,,,,,
3434,Fixed,2,,,,,,,
3440,Verified,2,,,,,,,
3452,Duplicate,2,,,,,,,
3457,Fixed,1,,,,,,,
3462,WontFix,2,,,,,,,
3463,Assigned,2,,,,,,,
3468,WontFix,2,,,,,,,
3470,Fixed,2,,,,,,,
3471,Fixed,2,,,,,,,
3475,Invalid,2,,,,,,,
3479,Verified,2,,,,,,,
3484,Fixed,2,,,,,,,
3486,Fixed,2,,,,,,,
3488,Fixed,3,,,,,,,
3491,WontFix,2,,,,,,,
3493,Verified,1,,,,,,,
3509,Verified,1,,,,,,,
3510,Fixed,2,,,,,,,
3516,Verified,1,,,,,,,
3521,Fixed,2,,,,,,,
3538,Fixed,1,,,,,,,
3539,Verified,1,,,,,,,
3542,Fixed,2,,,,,,,
3556,WontFix,2,,,,,,,
3559,Verified,2,,,,,,,
3560,Fixed,2,,,,,,,
3563,Fixed,3,,,,,,,
3564,Fixed,2,,,,,,,
3565,Verified,2,,,,,,,
3571,Assigned,2,,,,,,,
3592,Verified,2,,,,,,,
3597,Fixed,2,,,,,,,
3599,Fixed,2,,,,,,,
3605,Verified,1,,,,,,,
3613,Fixed,stable,,,,,,,
3628,Fixed,2,,,,,,,
3633,Fixed,2,,,,,,,
3636,Verified,2,,,,,,,
3638,Verified,2,,,,,,,
3639,Verified,2,,,,,,,
3641,Verified,2,,,,,,,
3643,Fixed,2,,,,,,,
3644,ExternalDependency,2,,,,,,,
3648,WontFix,2,,,,,,,
3649,Verified,2,,,,,,,
3650,Verified,2,,,,,,,
3653,Duplicate,2,,,,,,,
3662,Fixed,2,,,,,,,
3670,Fixed,1,,,,,,,
3674,Verified,2,,,,,,,
3675,Verified,2,,,,,,,
3676,Verified,2,,,,,,,
3679,Fixed,3,,,,,,,
3683,Verified,2,,,,,,,
